item_id,denumire,total_valoare,cantitate,pret_unitar,moneda,validare,sursa,source_value_row,source_qty_row,observatii
MED-0001,Ac acetici sol.5%-100 ml,32.49,1.0,32.49,MDL,OK,Лист3,12,13,
MED-0002,Ac chirurgical  BE 560-1,355.1,24.0,14.7958,MDL,OK,Лист3,14,15,
MED-0003,"Ac chirurgical  BE 560-13,14,15,17,18,19,20,21",2113.04,192.0,11.0054,MDL,OK,Лист3,16,17,
MED-0004,"Ac chirurgical  BE 560-2,4",710.2,48.0,14.7958,MDL,OK,Лист3,18,19,
MED-0005,"Ac chirurgical  BE 560-5,7",537.58,48.0,11.1996,MDL,OK,Лист3,20,21,
MED-0006,Ac chirurgical  BER 561-22,235.09,24.0,9.7954,MDL,OK,Лист3,22,23,
MED-0007,Ac chirurgical  BER 562-1,283.31,24.0,11.8046,MDL,OK,Лист3,24,25,
MED-0008,"Ac chirurgical  BER 562-11,12,14,16,17,18,19,20,21",2202.21,216.0,10.1954,MDL,OK,Лист3,26,27,
MED-0009,Ac chirurgical  BER 562-4,283.31,24.0,11.8046,MDL,OK,Лист3,28,29,
MED-0010,"Ac chirurgical  BER 562-5,8,9",734.07,72.0,10.1954,MDL,OK,Лист3,30,31,
MED-0011,Ac chirurgical  BER 562-7,244.69,24.0,10.1954,MDL,OK,Лист3,32,33,
MED-0012,"Ac chirurgical  BR 510 - 0,00",335.92,24.0,13.9967,MDL,OK,Лист3,34,35,
MED-0013,Ac chirurgical  BR 510 - 000,335.92,24.0,13.9967,MDL,OK,Лист3,36,37,
MED-0014,Ac chirurgical  BR 510-1,278.38,24.0,11.5992,MDL,OK,Лист3,38,39,
MED-0015,"Ac chirurgical  BR 510-13,14,16",367.02,36.0,10.195,MDL,OK,Лист3,40,41,
MED-0016,"Ac chirurgical  BR 510-4,5,6",734.07,72.0,10.1954,MDL,OK,Лист3,42,43,
MED-0017,"Ac chirurgical  BR 510-7,8,9",367.02,36.0,10.195,MDL,OK,Лист3,44,45,
MED-0018,"Ac chirurgical  E 530 - 0  ,00",528.26,48.0,11.0054,MDL,OK,Лист3,46,47,
MED-0019,Ac chirurgical  E 530 - 000,287.97,24.0,11.9988,MDL,OK,Лист3,48,49,
MED-0020,"Ac chirurgical  E 530 - 1 ,2",528.26,48.0,11.0054,MDL,OK,Лист3,50,51,
MED-0021,"Ac chirurgical  E 530-3,4",528.26,48.0,11.0054,MDL,OK,Лист3,52,53,
MED-0022,"Ac chirurgical  E 530-5,6,7,8",528.24,48.0,11.005,MDL,OK,Лист3,54,55,
MED-0023,"Ac chirurgical  ET 528-0,1,2,3,4",1524.1,120.0,12.7008,MDL,OK,Лист3,56,57,
MED-0024,Ac chirurgical  ET 528-000,379.21,24.0,15.8004,MDL,OK,Лист3,58,59,
MED-0025,"Ac chirurgical  ET 528-5,6,7,8",609.64,48.0,12.7008,MDL,OK,Лист3,60,61,
MED-0026,Ac chirurgical  G 503-16,264.13,24.0,11.0054,MDL,OK,Лист3,62,63,
MED-0027,"Ac chirurgical  GE 548-1,2,3",1080.09,72.0,15.0012,MDL,OK,Лист3,64,65,
MED-0028,"Ac chirurgical  GE 548-5,6,7,11,13,14,15,16,17,18,19,20,21,22",3697.82,336.0,11.0054,MDL,OK,Лист3,66,67,
MED-0029,Ac chirurgical  GE 548-9,264.13,24.0,11.0054,MDL,OK,Лист3,68,69,
MED-0030,"Ac chirurgical  GT 516 - 2,3,4,5,6",1919.35,120.0,15.9946,MDL,OK,Лист3,70,71,
MED-0031,Ac chirurgical  GT 516 - 8-9,287.98,24.0,11.9992,MDL,OK,Лист3,72,73,
MED-0032,"Ac chirurgical  H 522- 0,1",287.98,24.0,11.9992,MDL,OK,Лист3,74,75,
MED-0033,Ac chirurgical  H 522- 00,185.98,12.0,15.4983,MDL,OK,Лист3,76,77,
MED-0034,"Ac chirurgical  H 522- 2,3,4,5",1151.88,96.0,11.9988,MDL,OK,Лист3,78,79,
MED-0035,Ac chirurgical  HR 422- 0,264.13,24.0,11.0054,MDL,OK,Лист3,80,81,
MED-0036,Ac chirurgical  HR 422- 00,287.97,24.0,11.9988,MDL,OK,Лист3,82,83,
MED-0037,"Ac chirurgical  HR 422-1,2,3,4,5",1320.65,120.0,11.0054,MDL,OK,Лист3,84,85,
MED-0038,"Ac chirurgical GER 566-18,19,20,21,22",635.7,60.0,10.595,MDL,OK,Лист3,86,87,
